Unnamed: 0,ID,Name,Sex,Age,NOC,Team,Sport,Event,Medal,Year,Season,Height,Weight,Games,City,region,notes
1014,1294512,BARRIOS Anriquelis,Female,27.0,VEN,Venezuela,Judo,Women -63 kg,,2020,Summer,,,2020 Summer,Tokyo,Venezuela,
1015,1403795,BARRIOS NAVARRO Laura,Female,20.0,ESP,Spain,Hockey,Women Team,,2020,Summer,,,2020 Summer,Tokyo,Spain,
1016,1311188,BARRIOS Tomas,Male,23.0,CHI,Chile,Tennis,Men's Singles,,2020,Summer,,,2020 Summer,Tokyo,Chile,
1017,1286558,BARRONDO Bernardo Uriel,Male,28.0,GUA,Guatemala,Athletics,Men's 50km Race Walk,,2020,Summer,,,2020 Summer,Tokyo,Guatemala,
1018,1286564,BARRONDO Erick Bernabe,Male,30.0,GUA,Guatemala,Athletics,Men's 50km Race Walk,,2020,Summer,,,2020 Summer,Tokyo,Guatemala,
1019,1285649,BARRONDO Jose Alejandro,Male,24.0,GUA,Guatemala,Athletics,Men's 20km Race Walk,,2020,Summer,,,2020 Summer,Tokyo,Guatemala,
1020,1351790,BARROS Pedro,Male,26.0,BRA,Brazil,Skateboarding,Men's Park,Silver,2020,Summer,,,2020 Summer,Tokyo,Brazil,
1021,1301796,BARSEGHYAN Artur,Male,19.0,ARM,Armenia,Swimming,Men's 50m Freestyle,,2020,Summer,,,2020 Summer,Tokyo,Armenia,
1022,1301796,BARSEGHYAN Artur,Male,19.0,ARM,Armenia,Swimming,Men's 100m Freestyle,,2020,Summer,,,2020 Summer,Tokyo,Armenia,
1023,1328866,BARSHIM Mutaz Essa,Male,30.0,QAT,Qatar,Athletics,Men's High Jump,Gold,2020,Summer,,,2020 Summer,Tokyo,Qatar,
1024,1402511,BART Adrien,Male,29.0,FRA,France,Canoe Sprint,Men's Canoe Single 1000m,,2020,Summer,,,2020 Summer,Tokyo,France,
1025,1379779,BARTEKOVA Danka,Female,36.0,SVK,Slovakia,Shooting,Skeet Women,,2020,Summer,,,2020 Summer,Tokyo,Slovakia,
1026,1347316,BARTELSMEYER Amos,Male,27.0,GER,Germany,Athletics,Men's 1500m,,2020,Summer,,,2020 Summer,Tokyo,Germany,
1027,1311685,BARTHA-KERI Bianka,Female,27.0,HUN,Hungary,Athletics,Women's 800m,,2020,Summer,,,2020 Summer,Tokyo,Hungary,
1028,1327264,BARTHEL Danilo,Male,29.0,GER,Germany,Basketball,Men Team,,2020,Summer,,,2020 Summer,Tokyo,Germany,
1029,1320006,BARTHEL Mona,Female,31.0,GER,Germany,Tennis,Women's Singles,,2020,Summer,,,2020 Summer,Tokyo,Germany,
1030,1350626,BARTHEL Timo,Male,25.0,GER,Germany,Diving,Men's 10m Platform,,2020,Summer,,,2020 Summer,Tokyo,Germany,
1031,1393269,BARTHELEMY Valerie,Female,30.0,BEL,Belgium,Triathlon,Women's Individual,,2020,Summer,,,2020 Summer,Tokyo,Belgium,
1032,1393269,BARTHELEMY Valerie,Female,30.0,BEL,Belgium,Triathlon,Mixed Relay Team,,2020,Summer,,,2020 Summer,Tokyo,Belgium,
1033,1460475,BARTLEY Karayme,Male,25.0,JAM,Jamaica,Athletics,Men's 4 x 400m Relay Team,,2020,Summer,,,2020 Summer,Tokyo,Jamaica,
1034,1460475,BARTLEY Karayme,Male,25.0,JAM,Jamaica,Athletics,4 x 400m Relay Mixed Team,,2020,Summer,,,2020 Summer,Tokyo,Jamaica,
1035,1318711,BARTNIK Tomasz,Male,31.0,POL,Poland,Shooting,10m Air Rifle Men,,2020,Summer,,,2020 Summer,Tokyo,Poland,
1036,1318711,BARTNIK Tomasz,Male,31.0,POL,Poland,Shooting,50m Rifle 3 Positions Men,,2020,Summer,,,2020 Summer,Tokyo,Poland,
1037,1318711,BARTNIK Tomasz,Male,31.0,POL,Poland,Shooting,10m Air Rifle Mixed Team,,2020,Summer,,,2020 Summer,Tokyo,Poland,
1038,1298747,BARTSCH-HACKLEY Michelle,Female,31.0,USA,United States,Volleyball,Women Team,Gold,2020,Summer,,,2020 Summer,Tokyo,USA,
1039,1483875,BARTY Ashleigh,Female,25.0,AUS,Australia,Tennis,Women's Singles,,2020,Summer,,,2020 Summer,Tokyo,Australia,
1040,1483875,BARTY Ashleigh,Female,25.0,AUS,Australia,Tennis,Women's Doubles Team,,2020,Summer,,,2020 Summer,Tokyo,Australia,
1041,1483875,BARTY Ashleigh,Female,25.0,AUS,Australia,Tennis,Mixed Doubles Team,Bronze,2020,Summer,,,2020 Summer,Tokyo,Australia,
1042,1282120,BARU Morea,Male,31.0,PNG,Papua New Guinea,Weightlifting,Men's 61kg,,2020,Summer,,,2020 Summer,Tokyo,Papua New Guinea,
1043,1436075,BARYARD-JOHNSSON Malin,Female,46.0,SWE,Sweden,Equestrian,Jumping Team,Gold,2020,Summer,,,2020 Summer,Tokyo,Sweden,
1044,1436075,BARYARD-JOHNSSON Malin,Female,46.0,SWE,Sweden,Equestrian,Jumping Individual,,2020,Summer,,,2020 Summer,Tokyo,Sweden,
1045,1281186,BARZELAY Aviv,Female,19.0,ISR,Israel,Swimming,Women's 200m Backstroke,,2020,Summer,,,2020 Summer,Tokyo,Israel,
1046,1439725,BASHAEV Tamerlan,Male,25.0,ROC,Russia,Judo,Men +100 kg,Bronze,2020,Summer,,,2020 Summer,Tokyo,Russia,
1047,1439725,BASHAEV Tamerlan,Male,25.0,ROC,Russia,Judo,Mixed Team,,2020,Summer,,,2020 Summer,Tokyo,Russia,
1048,1303667,BASHIR Ghulam Mustafa,Male,34.0,PAK,Pakistan,Shooting,25m Rapid Fire Pistol Men,,2020,Summer,,,2020 Summer,Tokyo,Pakistan,
1049,1337029,BASHTA Anna,Female,25.0,AZE,Azerbaijan,Fencing,Women's Sabre Individual,,2020,Summer,,,2020 Summer,Tokyo,Azerbaijan,
1050,1481467,BASIC Hana,Female,25.0,AUS,Australia,Athletics,Women's 100m,,2020,Summer,,,2020 Summer,Tokyo,Australia,
1051,1398839,BASILASHVILI Nikoloz,Male,29.0,GEO,Georgia,Tennis,Men's Singles,,2020,Summer,,,2020 Summer,Tokyo,Georgia,
1052,1351007,BASILE Fabio,Male,26.0,ITA,Italy,Judo,Men -73 kg,,2020,Summer,,,2020 Summer,Tokyo,Italy,
1053,1351007,BASILE Fabio,Male,26.0,ITA,Italy,Judo,Mixed Team,,2020,Summer,,,2020 Summer,Tokyo,Italy,
1054,1436013,BASOVA Liubov,Female,33.0,UKR,Ukraine,Cycling Track,Women's Team Sprint Team,,2020,Summer,,,2020 Summer,Tokyo,Ukraine,
1055,1436013,BASOVA Liubov,Female,33.0,UKR,Ukraine,Cycling Track,Women's Sprint,,2020,Summer,,,2020 Summer,Tokyo,Ukraine,
1056,1436013,BASOVA Liubov,Female,33.0,UKR,Ukraine,Cycling Track,Women's Keirin,,2020,Summer,,,2020 Summer,Tokyo,Ukraine,
1057,1321715,BASS Gina,Female,26.0,GAM,The Gambia,Athletics,Women's 100m,,2020,Summer,,,2020 Summer,Tokyo,Gambia,
1058,1321715,BASS Gina,Female,26.0,GAM,The Gambia,Athletics,Women's 200m,,2020,Summer,,,2020 Summer,Tokyo,Gambia,
1059,1328980,BASSETO Guilherme,Male,24.0,BRA,Brazil,Swimming,Men's 100m Backstroke,,2020,Summer,,,2020 Summer,Tokyo,Brazil,
1060,1328980,BASSETO Guilherme,Male,24.0,BRA,Brazil,Swimming,Mixed 4 x 100m Medley Relay Team,,2020,Summer,,,2020 Summer,Tokyo,Brazil,
1061,1311551,BASSIL Ray,Female,32.0,LBN,Lebanon,Shooting,Trap Women,,2020,Summer,,,2020 Summer,Tokyo,Lebanon,
1062,1403798,BASTERRA Jose Maria,Male,24.0,ESP,Spain,Hockey,Men Team,,2020,Summer,,,2020 Summer,Tokyo,Spain,
1063,1458262,BASTIAN Izaak,Male,20.0,BAH,Bahamas,Swimming,Men's 100m Breaststroke,,2020,Summer,,,2020 Summer,Tokyo,Bahamas,
1064,1458262,BASTIAN Izaak,Male,20.0,BAH,Bahamas,Swimming,Men's 200m Breaststroke,,2020,Summer,,,2020 Summer,Tokyo,Bahamas,
1065,1340411,BASTIANELLI Marta,Female,34.0,ITA,Italy,Cycling Road,Women's Road Race,,2020,Summer,,,2020 Summer,Tokyo,Italy,
1066,1458990,BASTIEN Steven,Male,27.0,USA,United States,Athletics,Men's Decathlon,,2020,Summer,,,2020 Summer,Tokyo,USA,
