Medal,Event,ID,Sport,Name,Sex,NOC,Team,Height,Weight,Age,City,Year,Season,notes,Games,region
,,1535260,,LOPEZ GARCIA Alexis,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535267,,CARBALLO NIETO Miguel,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535310,,BLANCO Luisa,Female,COL,Colombia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Colombia
,,1535343,,WILLARS VALDEZ Randal,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535345,,BERLIN REYES Kevin,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535346,,OROZCO LOZA Alejandra,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535348,,AGUNDEZ GARCIA Gabriela,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
Bronze,Men's 3m Springboard,1535349,Diving,OLVERA IBARRA Osmar,Male,MEX,Mexico,0.0,0.0,20.0,Paris,2024,Summer,,2024 Summer,Mexico
Silver,Men's Synchronised 3m Springboard,1535349,Diving,OLVERA IBARRA Osmar,Male,MEX,Mexico,0.0,0.0,20.0,Paris,2024,Summer,,2024 Summer,Mexico
,,1535350,,GARZA PEREZ Eugenio,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535351,,FERNANDEZ Federico,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535354,,de LARA OJEDA Miguel Alejandro,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535356,,MORENO Alexa,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535357,,SANDOVAL Ahtziri,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535358,,FLORES Sofia,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535359,,SALAZAR Kimberly,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535360,,TEJEDA Adirem,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535361,,ALCOCER Dalia,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535362,,GUTIERREZ Julia,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535363,,HERNANDEZ Emiliano,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535364,,CARRILLO Duilio,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535365,,OLIVER Mayan,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535366,,SANSORES Carlos,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535367,,SOUZA Daniela Paola,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535368,,CLELAND QUINONEZ Alan,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535373,,GRIGORIAN Aram,Male,UAE,United Arab Emirates,0.0,0.0,,Paris,2024,Summer,,2024 Summer,United Arab Emirates
,,1535374,,KOSTOEV Dzhafar,Male,UAE,United Arab Emirates,0.0,0.0,,Paris,2024,Summer,,2024 Summer,United Arab Emirates
,,1535375,,MAGOMEDOMAROV Magomedomar,Male,UAE,United Arab Emirates,0.0,0.0,,Paris,2024,Summer,,2024 Summer,United Arab Emirates
,,1535376,,TATALASHVILI Nugzari,Male,UAE,United Arab Emirates,0.0,0.0,,Paris,2024,Summer,,2024 Summer,United Arab Emirates
,,1535383,,BISHRELT Khorloodoi,Female,UAE,United Arab Emirates,0.0,0.0,,Paris,2024,Summer,,2024 Summer,United Arab Emirates
,,1535385,,HOUSSEIN Alexandre,Male,DJI,Djibouti,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Djibouti
,,1535395,,AL SAYEGH Safia,Female,UAE,United Arab Emirates,0.0,0.0,,Paris,2024,Summer,,2024 Summer,United Arab Emirates
Bronze,Women's Team,1535420,Archery,VALENCIA Alejandra,Female,MEX,Mexico,0.0,0.0,30.0,Paris,2024,Summer,,2024 Summer,Mexico
Bronze,Women's Team,1535429,Archery,RUIZ Angela,Female,MEX,Mexico,0.0,0.0,18.0,Paris,2024,Summer,,2024 Summer,Mexico
,,1535430,,GRANDE Matias,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535433,,PRIETO Marcela,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535438,,RAMIREZ RAMOS Edson Ismael,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535439,,RODRIGUEZ Gabriela,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535440,,ZAVALA VAZQUEZ Alejandra,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535441,,QUEZADA MARQUEZ Carlos,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535442,,PENAFLOR MOYSEN Aram Michell,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535444,,REINOSO Sofia,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535448,,BRIONES FRAGOZA Beatriz,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535449,,ALANIS MORALES Karina,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1535505,,LINARES Natalia,Female,COL,Colombia,171.0,0.0,,Paris,2024,Summer,,2024 Summer,Colombia
,,1535506,,LONGA Ronal,Male,COL,Colombia,183.0,0.0,,Paris,2024,Summer,,2024 Summer,Colombia
,,1535511,,RUIZ HURTADO Flor Denis,Female,COL,Colombia,175.0,0.0,,Paris,2024,Summer,,2024 Summer,Colombia
,,1535512,,ORJUELA Angie,Female,COL,Colombia,158.0,0.0,,Paris,2024,Summer,,2024 Summer,Colombia
Bronze,Women's Freestyle 76kg,1535513,Wrestling,RENTERIA RENTERIA Tatiana,Female,COL,Colombia,0.0,0.0,24.0,Paris,2024,Summer,,2024 Summer,Colombia
,,1535514,,VALDES PANA Angie Paola,Female,COL,Colombia,165.0,0.0,,Paris,2024,Summer,,2024 Summer,Colombia
,,1535522,,ARBOLEDA MENDOZA Valeria,Female,COL,Colombia,164.0,0.0,,Paris,2024,Summer,,2024 Summer,Colombia
,,1535524,,BOLANOS LOPEZ Victor,Male,COL,Colombia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Colombia
,,1535609,,ABDOLI Samyar,Male,IRI,Iran,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1535660,,SIMWAKA Asimenye,Female,MAW,Malawi,168.0,0.0,,Paris,2024,Summer,,2024 Summer,Malawi
,,1535693,,AL MARZOOQI Omar Abdul Aziz,Male,UAE,United Arab Emirates,0.0,0.0,,Paris,2024,Summer,,2024 Summer,United Arab Emirates
,,1535729,,SERRANO Franco,Male,ARG,Argentina,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Argentina
,,1535766,,KUMEL SAADI,Male,IRQ,Iraq,191.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535776,,JOSEF AL IMAM,Male,IRQ,Iraq,182.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535804,,MUNTADHER ABDULAMEER,Male,IRQ,Iraq,165.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535805,,MUNTADHER MOHAMMED,Male,IRQ,Iraq,170.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
Bronze,Men's Kite,1535852,Sailing,MAEDER Maximilian,Male,SGP,Singapore,0.0,0.0,18.0,Paris,2024,Summer,,2024 Summer,Singapore
,,1535853,,LO Ryan,Male,SGP,Singapore,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1535854,,SIM En Yi Letitia,Female,SGP,Singapore,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1535856,,TAN Jonathan Eu Jin,Male,SGP,Singapore,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1535858,,PEREIRA Veronica Shanti,Female,SGP,Singapore,164.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1535910,,ZAID TAHSEEN,Male,IRQ,Iraq,187.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535913,,HUSSEIN AMER,Male,IRQ,Iraq,182.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535914,,ANAK LISES Bertrand Rhodict,Male,MAS,Malaysia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Malaysia
,,1535916,,HUSSEIN LAWEND,Male,IRQ,Iraq,180.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535918,,WONG Guanjie Johnathan,Male,MAS,Malaysia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Malaysia
,,1535925,,MOHAMAD ZUBIR Nur Aisyah,Female,MAS,Malaysia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Malaysia
,,1535926,,MOHAMAD LATIF Nur Shazrin,Female,MAS,Malaysia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Malaysia
,,1535927,,ALI JASIM,Male,IRQ,Iraq,178.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535928,,KARRAR SAAD,Male,IRQ,Iraq,176.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535929,,KARRAR MOHAMMED,Male,IRQ,Iraq,183.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535930,,NIHAD MOHAMMED,Male,IRQ,Iraq,177.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1535959,,DOUA Camil,Male,MTN,Mauritania,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mauritania
,,1535993,,CHEW Caroline,Female,SGP,Singapore,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1536032,,HERNANDEZ FLORES Margarita,Female,MEX,Mexico,149.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
Gold,Men +80kg,1536045,Taekwondo,SALIMI Arian,Male,IRI,Iran,0.0,0.0,21.0,Paris,2024,Summer,,2024 Summer,Iran
